"PARENTID","CHILDID"
535182,520569
538638,149398
539371,539269
539371,539334
539486,539418
539486,539484
540962,540933
540962,540950
546044,545145
546044,546011
546494,4032
546494,36356
546514,358916
546514,529888
546545,546337
546545,546534
546553,32598
546553,33214
546590,546245
546590,546564
546784,33256
546784,546773
546796,103965
546796,480653
546958,546911
546958,546923
547509,528046
547509,547388
548198,548012
548198,548175
548279,509988
548279,621222
548656,548618
548656,548635
548718,547987
548718,548708
548736,548061
548736,548730
548753,444515
549404,549308
549404,549396
549664,531506
549664,535653
549881,549866
549881,549871
550066,549988
550066,550060
550552,550388
550552,550546
551390,551242
551390,551384
551907,551875
551907,551902
552636,552510
552636,552623
554223,554163
554223,554165
554853,554831
554853,554838
555141,555123
555141,555139
555902,555899
555902,694547
555904,532946
555904,555896
555956,555612
555956,555940
555992,495591
556328,365538
556328,493216
558713,558463
558713,558705
558733,558513
558733,558718
559151,4008
559151,37907
559154,621525
559840,559743
559840,559827
559866,559823
559866,559861
560105,559842
560105,559872
560146,560000
560146,560150
560352,560265
560352,560348
560377,560343
560377,560373
560516,560453
560516,560493
560549,560450
560549,560545
560756,560659
560756,560745
560786,168995
560786,560783
560824,332858
560824,560821
560833,332906
560833,560828
560842,560837
560873,560853
560873,574357
560876,116589
560876,560848
560907,462704
561023,560982
561023,561004
561314,495939
561314,561306
561358,561355
561470,560982
561470,561004
561650,552481
561650,561644
561869,561770
561869,561856
561913,561893
561913,561901
562598,562428
562598,562592
562625,541171
562625,621356
562679,562630
562679,562673
562800,562772
562800,562798
563379,563309
563379,563376
563405,562894
563405,563402
563759,29013
563759,563755
563809,266838
563809,563799
563813,32499
563813,563794
563815,563804
563815,610034
563880,563456
563880,563874
563908,563771
563908,563903
564210,564142
564210,564206
564220,625134
564220,625138
564374,564270
564374,564323
564517,564507
564517,621304
564732,4008
564732,37907
564732,621525
564832,625142
564832,625170
564839,564796
564839,564836
564931,564851
564931,564926
565303,565274
565303,565284
565379,565362
565470,526311
565470,528365
565597,565344
565597,565615
565621,669361
565621,670214
565653,565341
565653,565630
566812,566413
566812,566788
566978,625074
566978,625150
566987,566919
566987,566983
567081,530044
567109,567083
567109,567104
567185,521967
567185,567182
567222,595499
567222,595517
567282,532946
567282,555896
567537,157367
567537,567533
567549,131766
567549,567541
567884,567619
567884,567711
568521,568110
568521,568198
569021,568039
569021,569010
569762,569751
569762,569758
570135,570030
570135,570125
570324,570304
570324,570320
570419,570352
570419,570413
570684,42490
570684,570674
570711,570297
570711,570699
570717,414270
570717,414346
570722,570598
570722,570719
570744,570608
570744,570741
570763,42229
570767,435384
570767,570760
571786,571644
571786,571781
572368,572308
572368,572363
573550,573514
573550,573548
573756,573519
573756,573751
573913,572955
573980,545447
573980,573971
575042,574910
575042,575038
575521,575451
575521,575513
575635,572731
575635,572813
575850,575648
575850,575846
575859,575817
575859,575855
575900,572955
575900,575890
575934,694419
575934,694617
576016,481032
576016,531711
576036,575662
576036,576032
576300,576289
576300,576327
576426,445088
576426,531813
576574,576523
576574,576567
576582,576165
576582,576579
576602,576551
576602,576587
577734,577616
577734,577731
580274,580212
580274,580260
580749,580622
580749,580746
581243,580890
581243,581238
581382,580643
581382,581271
581416,581086
581416,581410
582183,499598
582183,521446
582235,582133
582723,582639
582723,582719
583007,582927
583007,582998
583068,582960
583068,582985
583084,582979
583084,583072
583963,583673
583963,583954
584019,584001
584019,584013
584632,3522
584632,584627
584650,584355
584650,584639
585390,585348
585390,585386
585440,584957
585440,585436
585472,585375
585472,585467
585658,508465
585658,585651
585943,585890
585943,585933
586014,585821
586014,586008
586104,586075
586104,586100
586179,585821
586179,586008
586204,586152
586204,586200
586338,19407
586338,586335
586371,544257
586371,586342
586614,586569
586614,586611
586802,586310
586802,586796
587012,586751
587012,587001
587164,414278
587164,446398
587175,582693
587175,587170
587701,587519
587701,587686
588565,496345
588565,534107
588881,588876
588881,588879
590183,318649
590183,589704
590858,590747
590858,590841
591072,591059
591072,591066
593161,592993
593161,593158
593416,593289
593416,593395
593497,593374
593497,593490
593531,329563
593531,400115
593756,625090
