"RESEARCHPROJECT","RESEARCHPROJECTLIST"
93907,93960
93965,93960
93969,93960
93993,93960
93999,93960
94007,93960
94013,93960
94017,93960
94024,93960
94026,93960
94045,93960
99776,93960
101271,100849
101277,100849
101281,100849
101283,100849
101285,100849
101289,100849
101292,100849
101294,100849
101296,100849
101298,100849
101300,100849
101302,100849
101304,100849
101306,100849
101308,100849
101310,100849
101312,100849
101314,100849
101316,100849
101318,100849
101320,100849
101322,100849
101324,100849
101326,100849
119078,119073
122633,122629
122640,122629
122644,122629
122685,122679
122692,122679
122695,122679
122751,122629
122753,122629
122755,122629
122760,122629
122764,122629
122772,122629
123205,122629
123312,122629
123314,122629
123316,122629
123320,122629
123322,122629
123596,119073
123611,119073
123905,119073
136925,136919
136979,136919
137005,136919
137177,136919
137203,136919
137205,136919
137208,136919
137210,136919
137220,136919
137224,136919
137227,136919
158059,93960
158068,93960
158076,93960
158079,93960
158083,93960
158090,93960
158100,93960
158108,93960
161313,100849
164469,136919
182448,182443
182456,182443
182464,182443
182468,182443
182702,182443
182709,182443
182717,182443
184088,199099
184518,182443
185738,96228
185744,96228
185749,96228
185754,96228
185757,96228
185760,96228
185784,199099
185786,122679
185788,122679
185988,122679
186025,122679
186070,122679
186118,122679
186122,122679
186130,186127
186151,186127
187297,182443
187312,182443
187316,182443
187319,182443
187326,182443
188616,182443
188619,182443
188990,182443
188997,182443
189014,182443
190309,186127
190350,186127
190353,186127
191037,186127
191044,186127
191053,186127
191144,186127
191154,186127
191175,96228
191180,186127
191184,186127
191539,119073
191948,119073
191969,119073
202023,199099
202033,199099
202038,199099
213195,93960
221159,182443
221304,182443
221364,182443
228912,122629
232099,186127
232145,186127
235060,122679
235281,186127
242141,100849
244469,100849
245360,199099
248580,182443
248999,182443
249008,182443
249010,182443
249064,182443
249107,93960
249477,199099
249491,199099
249867,93960
251548,93960
253104,122679
257520,199099
257584,199099
257664,199099
257769,122679
261586,182443
267341,93960
267344,93960
268140,122679
284166,182443
284211,100849
284526,122679
284531,122679
284536,122679
284555,122679
284557,122679
284559,122679
284714,199099
291194,96228
291598,291587
294965,291587
295275,122629
295929,122629
295978,122629
296134,122629
296274,291587
296374,291587
296397,93960
296429,93960
296436,93960
297216,199099
302198,136919
302204,136919
302211,136919
302236,136919
303945,136919
303996,136919
304008,136919
305316,199099
306758,96228
312703,93960
312726,93960
328326,93960
338769,122679
338996,93960
346522,122679
348232,186127
348971,205420
349030,182443
351104,122679
351433,182443
351448,182443
367082,136919
367135,136919
367145,136919
367617,136919
367622,136919
369889,136919
370107,122629
370764,182443
371202,93960
371227,93960
371229,93960
371884,136919
371896,136919
371917,136919
379040,93960
395268,182443
404301,199099
405262,182443
410972,199099
410976,122679
414205,122679
421985,119073
421991,119073
422098,199099
422873,199099
447718,93960
447738,93960
447741,93960
447744,93960
452948,122679
453252,122679
463020,463017
463348,122679
465851,93960
479282,122679
479395,186127
515781,93960
529000,136919
529010,136919
529016,136919
529021,136919
529028,136919
535011,182443
536136,93960
536138,93960
536447,122629
536592,122629
537510,93960
537650,182443
537670,182443
537940,182443
537953,182443
537994,182443
538003,182443
548801,182443
548804,182443
550452,93960
555280,555278
555310,554982
555313,554982
555316,554982
555319,554982
555322,554982
555925,93960
556487,199099
556515,182443
561207,136919
563579,205420
570249,136919
572305,463017
575234,93960
579209,93960
581882,205420
581912,463017
583843,463017
585682,463017
585704,463017
585710,463017
586992,93960
589641,93960
589658,93960
591047,93960
591368,93960
592744,96228
594753,93960
595675,93960
595677,93960
595684,93960
595690,93960
598039,205420
599174,555278
600368,93960
602538,555278
602543,555278
602548,555278
603869,122629
606917,122629
606977,122629
606986,122629
607581,122629
607584,122629
609323,93960
609533,122629
614121,555278
614125,555278
614129,555278
615337,122629
619446,93960
619518,93960
619701,93960
621706,93960
621729,93960
622721,554982
622797,93960
623109,93960
626431,122679
626434,122679
626463,122629
626468,136919
626472,554982
626483,122629
626506,122679
626529,122679
626558,554982
626728,122679
626730,122679
626790,122679
626795,122679
626959,93960
627654,122679
627707,136919
641340,93960
647129,122679
650742,122629
652164,122629
652767,122629
659410,554982
668244,93960
669043,122629
677968,93960
678671,122679
679776,93960
679889,93960
680187,96228
682114,186127
683070,122679
683079,122629
683105,554982
685104,136919
690794,555278
700258,555278
700271,555278
700278,93960
700304,122629
701006,122629
701028,136919
702123,555278
702153,463017
702535,555278
705528,122629
705983,555278
709812,93960
709954,122629
712786,182443
712813,122629
712827,122679
712836,93960
712934,93960
712975,122629
713068,93960
717021,122629
718004,122629
719549,93960
719663,136919
719881,93960
720001,136919
720435,555278
720457,555278
720466,93960
720470,93960
720481,93960
720484,555278
720653,555278
720707,555278
721014,136919
721028,136919
721051,122629
